hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 281.108, -0.731497, 281.343, -120.603, 280.598, 119.188, 0, 0, 172.679, 144.76, 133.289, 22.5276, 133.641, -97.6819, 40.1705, -27.0385
2, 0.00000, 280.725, -0.787868, 281.155, -120.639, 280.157, 119.147, 0, 0, 186.732, 144.704, 144.048, 22.4914, 144.544, -97.7224, 43.4893, -27.0332
3, 0.00000, 280.146, -0.872885, 280.873, -120.693, 279.492, 119.086, 0, 0, 207.924, 144.619, 160.215, 22.4371, 161.005, -97.7837, 48.5261, -26.985
4, 0.00000, 280.531, -0.816324, 281.061, -120.657, 279.934, 119.127, 0, 0, 193.813, 144.675, 149.434, 22.4733, 150.053, -97.7431, 45.1796, -26.9868
5, 0.00000, 280.147, -0.872796, 280.872, -120.693, 279.493, 119.086, 0, 0, 207.908, 144.619, 160.214, 22.4371, 160.987, -97.7835, 48.5158, -27.0006
6, 0.00000, 278.209, -1.15452, 279.936, -120.871, 277.266, 118.885, 0, 0, 277.968, 144.168, 213.188, 22.0271, 215.232, -98.2166, 65.5821, -26.8853
7, 0.00000, 277.044, -1.55362, 280.306, -121.128, 277.516, 118.612, 0, 0, 380.062, 143.377, 289.154, 21.2304, 292.081, -99.0294, 91.9926, -27.8485
8, 0.00000, 276.079, -1.68322, 279.867, -121.204, 276.415, 118.526, 0, 0, 411.707, 142.821, 311.791, 20.5636, 315.664, -99.706, 101.012, -27.8364
9, 0.00000, 278.144, -1.37485, 280.87, -121.001, 278.753, 118.75, 0, 0, 332.353, 142.113, 251.069, 19.3467, 253.008, -100.902, 82.9167, -27.9253
10, 0.00000, 280.393, -0.780427, 282.87, -120.599, 281.538, 119.188, 0, 0, 179.051, 138.125, 132.11, 13.1385, 132.731, -107.074, 49.1762, -27.4463
11, 0.00000, 279.536, -0.882686, 282.502, -120.65, 280.543, 119.128, 0, 0, 202.381, 136.232, 147.906, 10.4223, 148.936, -109.8, 57.6482, -27.502
12, 0.00000, 278.639, -0.997176, 282.104, -120.712, 279.507, 119.056, 0, 0, 229.43, 135.51, 166.976, 9.44668, 168.523, -110.786, 66.2671, -27.5324
13, 0.00000, 277.674, -1.1336, 281.651, -120.796, 278.403, 118.962, 0, 0, 262.903, 136.174, 191.585, 10.5657, 193.816, -109.677, 75.0851, -27.5111
14, 0.00000, 278.633, -0.999439, 282.098, -120.714, 279.5, 119.053, 0, 0, 230.084, 135.66, 167.544, 9.67337, 169.105, -110.559, 66.2806, -27.5227
15, 0.00000, 279.544, -0.879928, 282.509, -120.647, 280.55, 119.131, 0, 0, 201.569, 136.021, 147.184, 10.1037, 148.215, -110.119, 57.6408, -27.504
16, 0.00000, 280.418, -0.771387, 282.893, -120.59, 281.564, 119.197, 0, 0, 176.329, 137.362, 129.646, 12.0034, 130.261, -108.209, 49.1472, -27.461
17, 0.00000, 279.398, -0.931217, 282.381, -120.698, 280.405, 119.079, 0, 0, 217.028, 139.655, 161.167, 15.5012, 162.3, -104.722, 57.832, -27.3881
18, 0.00000, 278.303, -1.11501, 281.81, -120.83, 279.172, 118.936, 0, 0, 265.607, 142.356, 200.088, 19.494, 201.974, -100.74, 66.7403, -27.2486
19, 0.00000, 276.56, -2.09835, 280.124, -121.494, 276.523, 118.219, 0, 0, 524.799, 143.258, 399.864, 21.4507, 405.148, -98.8362, 125.756, -28.4103
20, 0.00000, 275.249, -2.51387, 280.463, -121.76, 274.82, 117.927, 0, 0, 634.882, 142.978, 481.345, 21.3705, 491.242, -98.9432, 153.198, -28.2069
21, 0.00000, 274.974, -2.77086, 279.462, -121.945, 274.303, 117.739, 0, 0, 706.132, 142.721, 536.739, 21.1854, 546.859, -99.1314, 169.237, -28.8837
22, 0.00000, 277.085, -2.48112, 280.43, -121.761, 276.686, 117.941, 0, 0, 630.675, 143.01, 481.397, 21.3693, 487.94, -98.9286, 150.044, -29.0429
23, 0.00000, 279.38, -1.93834, 282.375, -121.396, 279.499, 118.33, 0, 0, 486.454, 143.553, 371.862, 21.7346, 375.627, -98.5395, 115.693, -28.5155
24, 0.00000, 279.969, -1.14128, 281.684, -120.871, 280.854, 118.899, 0, 0, 277.403, 144.35, 213.008, 22.2586, 213.625, -97.9708, 65.5872, -28.0109
