hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2451.88, -0.559567, 2450.42, -120.482, 2444.26, 119.3, 20.7482, -33.7193, 16.1808, -155.402, 16.2239, 84.3887
2, 0.00000, 2449.84, -0.601454, 2449.77, -120.508, 2441.46, 119.269, 22.3706, -33.8856, 17.4222, -155.586, 17.4826, 84.2002
3, 0.00000, 2446.76, -0.664583, 2448.8, -120.547, 2437.23, 119.223, 24.8175, -34.1093, 19.2878, -155.827, 19.3834, 83.9525
4, 0.00000, 2448.81, -0.622604, 2449.45, -120.521, 2440.04, 119.254, 23.1882, -33.9637, 18.0437, -155.67, 18.119, 84.1131
5, 0.00000, 2446.76, -0.664509, 2448.8, -120.547, 2437.24, 119.223, 24.8155, -34.1089, 19.2877, -155.827, 19.3812, 83.9527
6, 0.00000, 2436.38, -0.875158, 2445.55, -120.677, 2423.05, 119.068, 32.904, -34.8668, 25.3995, -156.648, 25.6438, 83.1078
7, 0.00000, 2435.72, -1.17549, 2455.8, -120.87, 2432.52, 118.855, 44.6852, -35.9082, 34.1582, -157.779, 34.505, 81.9609
8, 0.00000, 2430.5, -1.27464, 2454.23, -120.928, 2425.41, 118.787, 47.5046, -37.1788, 35.9758, -159.436, 36.4224, 80.2942
9, 0.00000, 2441.34, -1.05906, 2457.54, -120.793, 2439.97, 118.943, 38.3484, -37.8863, 28.9693, -160.653, 29.1936, 79.0984
10, 0.00000, 2447.26, -0.637461, 2464.28, -120.519, 2453.17, 119.258, 19.9215, -43.7202, 14.5809, -169.619, 14.649, 70.168
11, 0.00000, 2442.27, -0.735226, 2462.75, -120.576, 2446.29, 119.19, 22.6307, -45.4529, 16.4353, -172.132, 16.5494, 67.6455
12, 0.00000, 2437.08, -0.839792, 2461.15, -120.64, 2439.22, 119.115, 26.4734, -44.4899, 19.266, -170.553, 19.4462, 69.2146
13, 0.00000, 2431.85, -0.944581, 2459.55, -120.704, 2432.11, 119.04, 30.3348, -43.8256, 22.1059, -169.434, 22.363, 70.3235
14, 0.00000, 2437.07, -0.840201, 2461.15, -120.64, 2439.22, 119.114, 26.5481, -44.3401, 19.3318, -170.326, 19.5121, 69.4413
15, 0.00000, 2442.18, -0.738848, 2462.72, -120.58, 2446.21, 119.186, 23.2578, -43.9791, 16.9826, -169.896, 17.1017, 69.8816
16, 0.00000, 2447.2, -0.639863, 2464.26, -120.522, 2453.12, 119.256, 20.3456, -42.6375, 14.959, -167.996, 15.0301, 71.7913
17, 0.00000, 2442.05, -0.744501, 2462.66, -120.586, 2446.09, 119.18, 24.2786, -41.8082, 17.8978, -166.65, 18.0229, 73.1273
18, 0.00000, 2436.67, -0.856841, 2460.99, -120.658, 2438.86, 119.096, 29.6088, -39.1056, 22.1132, -162.591, 22.3207, 77.1755
19, 0.00000, 2444.77, -1.56305, 2464.29, -121.122, 2434.53, 118.573, 60.3025, -36.8975, 45.899, -158.766, 46.5051, 80.9476
20, 0.00000, 2443.42, -1.86284, 2474.61, -121.311, 2427.79, 118.36, 73.0017, -37.1499, 55.2997, -158.807, 56.4361, 80.8796
21, 0.00000, 2447.55, -2.04831, 2471.01, -121.444, 2428.52, 118.22, 81.222, -37.3934, 61.69, -158.974, 62.8524, 80.7099
22, 0.00000, 2458.94, -1.83879, 2474.35, -121.312, 2443.64, 118.369, 72.5181, -37.1171, 55.3057, -158.808, 56.0568, 80.8941
23, 0.00000, 2465.66, -1.44397, 2481.19, -121.05, 2457.5, 118.658, 55.8806, -36.613, 42.6696, -158.496, 43.1012, 81.2302
24, 0.00000, 2451.65, -0.858483, 2460.69, -120.672, 2454.05, 119.085, 32.008, -35.6496, 24.5777, -157.741, 24.6489, 82.0295
